,location,size,total_sqft,bath,price,bhk,price_per_sqft
2383,Nagarbhavi,3 Bedroom,600,2,80,3,13333.33333
2384,Uttarahalli,2 BHK,1089,2,43.55,2,3999.081726
2385,Thanisandra,3 BHK,1800,3,90,3,5000
2386,Yelahanka New Town,1 BHK,960,2,18,1,1875
2387,Yelahanka,2 BHK,1036,2,39.35,2,3798.262548
2388,Marathahalli,3 BHK,1583,3,105,3,6632.975363
2389,7th Phase JP Nagar,4 Bedroom,3300,4,150,4,4545.454545
2390,Padmanabhanagar,2 BHK,1100,2,65,2,5909.090909
2391,Thyagaraja Nagar,1 Bedroom,800,1,100,1,12500
2392,Vittasandra,2 BHK,1246,2,65,2,5216.693419
2393,Dodda Nekkundi,2 BHK,850,2,28,2,3294.117647
2394,Raja Rajeshwari Nagar,2 BHK,1196,2,51.51,2,4306.856187
2395,Thanisandra,3 BHK,1697,3,114,3,6717.737183
2396,TC Palaya,2 Bedroom,1000,2,64,2,6400
2397,HRBR Layout,3 BHK,1567,3,90,3,5743.458839
2398,Anekal,2 Bedroom,1200,1,36,2,3000
2399,Sarjapur  Road,4 Bedroom,3750,6,290,4,7733.333333
2400,other,2 BHK,950,2,45,2,4736.842105
2401,other,2 BHK,1022,2,52,2,5088.062622
2402,Kammasandra,2 BHK,1018,2,23.45,2,2303.536346
2403,other,4 Bedroom,2000,3,25,4,1250
2404,Bharathi Nagar,2 BHK,1322,2,68,2,5143.721634
2405,Marsur,4 Bedroom,1800,4,145,4,8055.555556
2406,Doddakallasandra,3 BHK,1460,2,58.39,3,3999.315068
2407,other,2 BHK,990,2,44.55,2,4500
2408,other,3 BHK,2400,3,260,3,10833.33333
2409,Whitefield,3 BHK,1635,2,85,3,5198.776758
2410,Rajaji Nagar,4 BHK,3526,4,558,4,15825.29779
2411,Padmanabhanagar,4 Bedroom,3400,3,210,4,6176.470588
2412,other,3 BHK,2770,3,460,3,16606.49819
2413,EPIP Zone,4 BHK,3035,5,200,4,6589.785832
2414,other,3 BHK,1533,3,85,3,5544.683627
2415,Akshaya Nagar,3 BHK,1720,3,134,3,7790.697674
2416,Frazer Town,3 BHK,2000,3,200,3,10000
2417,Yeshwanthpur,2 BHK,1185,2,75.84,2,6400
2418,Varthur Road,2 BHK,900,2,27,2,3000
2419,Attibele,1 BHK,395,1,10.25,1,2594.936709
2420,Electronic City Phase II,2 BHK,1031,2,56.35,2,5465.56741
2421,other,6 Bedroom,2400,8,650,6,27083.33333
2422,Thanisandra,4 BHK,2650,4,240,4,9056.603774
2423,Basaveshwara Nagar,5 Bedroom,2400,5,415,5,17291.66667
2424,Uttarahalli,3 BHK,1330,2,46.55,3,3500
2425,Hennur,2 BHK,1259,2,57,2,4527.402701
2426,Raja Rajeshwari Nagar,3 BHK,1570,3,88,3,5605.095541
2427,Bisuvanahalli,3 BHK,1075,2,36,3,3348.837209
2428,Whitefield,2 BHK,1216,2,79,2,6496.710526
2429,Sarjapur  Road,3 BHK,1428,2,66,3,4621.848739
2430,Begur Road,2 BHK,1160,2,40.59,2,3499.137931
2431,other,3 Bedroom,600,2,110,3,18333.33333
2432,other,3 BHK,1475,3,70,3,4745.762712
2433,Harlur,3 BHK,1754,3,135,3,7696.693273
2434,Rayasandra,3 BHK,1639,3,83,3,5064.063453
2435,Hennur Road,3 BHK,1804,3,102,3,5654.101996
2436,Whitefield,3 Bedroom,1200,3,56.2,3,4683.333333
2437,other,2 BHK,1135,2,55,2,4845.814978
2438,Begur Road,2 BHK,1260,2,46.62,2,3700
2439,other,5 Bedroom,1440,5,110,5,7638.888889
2440,Hennur Road,3 BHK,2160,3,160,3,7407.407407
2441,Rayasandra,7 Bedroom,700,6,85,7,12142.85714
2442,Rachenahalli,2 BHK,1220,2,59.5,2,4877.04918
2443,Margondanahalli,2 Bedroom,1200,2,67,2,5583.333333
2444,Yelahanka,2 BHK,1300,2,65,2,5000
2445,Cox Town,1 BHK,605,1,29,1,4793.38843
2446,Vijayanagar,6 Bedroom,1230,4,210,6,17073.17073
2447,Bhoganhalli,2 BHK,1444,2,75.97,2,5261.080332
2448,Amruthahalli,2 BHK,924,2,45,2,4870.12987
2449,Kaikondrahalli,2 BHK,1000,2,30,2,3000
2450,Vishveshwarya Layout,4 Bedroom,600,4,95,4,15833.33333
2451,other,3 Bedroom,1200,3,225,3,18750
2452,Bisuvanahalli,2 BHK,845,2,29,2,3431.952663
2453,Kanakpura Road,2 BHK,700,2,35,2,5000
2454,Kothanur,2 BHK,1187,2,58,2,4886.267902
2455,Kaggadasapura,3 BHK,1625,3,55,3,3384.615385
2456,Devarachikkanahalli,2 Bedroom,1200,2,83,2,6916.666667
2457,other,2 BHK,1452.55,2,110,2,7572.889057
2458,other,3 BHK,2357,3,151,3,6406.448876
2459,Kaval Byrasandra,2 BHK,1200,2,49.5,2,4125
2460,Budigere,2 BHK,1139,2,56.85,2,4991.220369
2461,Basavangudi,1 Bedroom,600,1,97.5,1,16250
2462,Kanakpura Road,3 BHK,1660,3,75,3,4518.072289
2463,other,2 BHK,1170,2,105,2,8974.358974
2464,Somasundara Palya,2 BHK,1448,2,68,2,4696.132597
2465,Kadugodi,3 BHK,1762,3,110,3,6242.905789
2466,Kaggadasapura,2 BHK,1105,2,38.65,2,3497.737557
2467,Yelahanka,3 BHK,1825,3,105,3,5753.424658
2468,Bhoganhalli,1 RK,296,1,22.89,1,7733.108108
2469,other,5 Bedroom,1200,4,85,5,7083.333333
2470,Thanisandra,2 BHK,1185,2,43,2,3628.691983
2471,Electronic City Phase II,3 BHK,1320,2,38.12,3,2887.878788
2472,Hulimavu,2 BHK,1058,2,48,2,4536.862004
2473,Bellandur,2 BHK,1220,2,60,2,4918.032787
2474,Sarjapur,2 BHK,925,2,25,2,2702.702703
2475,Old Madras Road,2 BHK,1200,2,72,2,6000
2476,Kengeri,3 BHK,1160,2,40.6,3,3500
2477,Kengeri Satellite Town,3 Bedroom,600,4,72,3,12000
2478,other,3 BHK,1411,3,91.72,3,6500.354359
2479,Bannerghatta Road,3 BHK,1550,3,78,3,5032.258065
2480,Green Glen Layout,4 BHK,3250,4,230,4,7076.923077
2481,Haralur Road,3 BHK,2475,4,130,3,5252.525253
2482,7th Phase JP Nagar,4 BHK,2503,4,188,4,7510.986816
2483,Marathahalli,4 BHK,2524,5,190,4,7527.733756
2484,Kaggadasapura,2 BHK,1063,2,42,2,3951.081844
2485,Kanakpura Road,2 BHK,1077,2,37.7,2,3500.464253
2486,other,2 BHK,1200,3,44,2,3666.666667
2487,Hosakerehalli,4 BHK,1500,3,70,4,4666.666667
2488,Jalahalli,2 BHK,1045,2,76.77,2,7346.411483
2489,Kanakapura,3 BHK,1290,2,45.15,3,3500
2490,Hoodi,2 BHK,1400,2,78,2,5571.428571
2491,Begur Road,3 BHK,1600,3,58.14,3,3633.75
2492,other,3 BHK,3095,3,375,3,12116.31664
2493,Nagavara,3 BHK,1545,2,58,3,3754.045307
2494,Sarjapur  Road,3 BHK,1680,3,112,3,6666.666667
2495,other,2 BHK,1350,2,67.5,2,5000
2496,Gottigere,2 BHK,950,2,38,2,4000
2497,Thanisandra,2 BHK,1050,2,45,2,4285.714286
2498,Banashankari Stage V,3 BHK,1305,2,49,3,3754.789272
2499,Hosakerehalli,4 Bedroom,800,4,120,4,15000
2500,Kodichikkanahalli,5 BHK,2700,7,125,5,4629.62963
2501,other,3 Bedroom,1100,3,78,3,7090.909091
2502,Thanisandra,6 Bedroom,3500,5,160,6,4571.428571
2503,Begur Road,3 BHK,1634,3,83.33,3,5099.755202
2504,Prithvi Layout,2 BHK,1352,2,85,2,6286.982249
2505,Balagere,2 BHK,1145,2,65,2,5676.855895
2506,other,2 BHK,1240,2,43.79,2,3531.451613
2507,7th Phase JP Nagar,3 BHK,2200,3,190,3,8636.363636
2508,Bommasandra Industrial Area,2 BHK,1020,2,39,2,3823.529412
2509,other,4 BHK,3600,4,365,4,10138.88889
2510,Raja Rajeshwari Nagar,2 BHK,1168,2,61,2,5222.60274
2511,Electronic City Phase II,2 BHK,1205,2,75,2,6224.06639
2512,Yeshwanthpur,2 BHK,1195,2,100,2,8368.200837
2513,CV Raman Nagar,2 BHK,1028,2,49,2,4766.536965
2514,other,2 BHK,1175,2,48.27,2,4108.085106
2515,Pai Layout,3 BHK,1550,2,90,3,5806.451613
2516,Yeshwanthpur,3 BHK,1826,3,165,3,9036.144578
2517,Hoodi,5 Bedroom,2400,5,160,5,6666.666667
2518,Yelahanka,3 BHK,1603,3,96,3,5988.771054
2519,Marathahalli,3 BHK,1350,3,72,3,5333.333333
2520,KR Puram,1 BHK,714,1,28,1,3921.568627
2521,Whitefield,2 BHK,1215,2,65,2,5349.794239
2522,Malleshpalya,3 BHK,1405,2,77,3,5480.427046
2523,KR Puram,2 BHK,1142,2,51,2,4465.849387
2524,other,4 Bedroom,4000,4,170,4,4250
2525,Whitefield,3 BHK,1870,3,90,3,4812.834225
2526,Subramanyapura,2 BHK,1313,2,73,2,5559.786748
2527,other,3 BHK,1945,3,120,3,6169.66581
2528,Thanisandra,3 BHK,1573,3,95,3,6039.41513
2529,Sarjapur  Road,2 BHK,1255,2,92,2,7330.677291
2530,Benson Town,4 BHK,1400,3,91.15,4,6510.714286
2531,Kannamangala,2 BHK,1235,2,43.63,2,3532.793522
2532,Sarjapur  Road,3 BHK,1380,2,52,3,3768.115942
2533,Ramamurthy Nagar,7 Bedroom,1500,9,250,7,16666.66667
2534,Vittasandra,2 BHK,1238,2,67,2,5411.954766
2535,other,3 BHK,1465,2,74.72,3,5100.341297
2536,Thigalarapalya,2 BHK,1418,2,103,2,7263.751763
2537,other,3 BHK,1650,3,165,3,10000
2538,Anekal,1 RK,351,1,16,1,4558.404558
2539,Uttarahalli,2 BHK,1279,2,48,2,3752.931978
2540,Kasavanhalli,3 Bedroom,1870,3,200,3,10695.18717
2541,other,4 Bedroom,1500,5,230,4,15333.33333
2542,Hebbal,3 BHK,2526,2,250,3,9897.070467
2543,other,3 Bedroom,1550,2,150,3,9677.419355
2544,Uttarahalli,3 BHK,1845,2,68.27,3,3700.271003
2545,other,3 BHK,1360,2,59.27,3,4358.088235
2546,other,3 BHK,1150,2,75,3,6521.73913
2547,Whitefield,2 BHK,1260,2,49.5,2,3928.571429
2548,other,3 Bedroom,1200,3,74,3,6166.666667
2549,Dasanapura,2 BHK,965,2,42.5,2,4404.145078
2550,Hoodi,3 BHK,1350,2,48,3,3555.555556
2551,Bhoganhalli,2 BHK,1447,2,75.97,2,5250.172771
2552,other,3 BHK,1229,3,86.03,3,7000
2553,Kudlu,2 BHK,1027,2,43,2,4186.952288
2554,Gottigere,2 BHK,1153,2,48.5,2,4206.41804
2555,Whitefield,4 BHK,2856,5,145.5,4,5094.537815
2556,Malleshpalya,2 BHK,1065,2,50,2,4694.835681
2557,other,2 BHK,1030,2,61,2,5922.330097
2558,Mallasandra,2 BHK,1340,2,61,2,4552.238806
2559,Marathahalli,4 BHK,4000,5,212,4,5300
2560,other,1 Bedroom,600,1,32,1,5333.333333
2561,Begur Road,3 BHK,1410,2,44.42,3,3150.35461
2562,Varthur,2 BHK,1055,2,45.35,2,4298.578199
2563,Yelahanka,2 BHK,1304,2,79,2,6058.282209
2564,other,4 BHK,2720,4,485,4,17830.88235
2565,Kammasandra,2 BHK,990,2,31.5,2,3181.818182
2566,7th Phase JP Nagar,2 BHK,1035,2,39.33,2,3800
2567,Tumkur Road,1 BHK,700,1,30.09,1,4298.571429
2568,Sonnenahalli,2 BHK,1120,2,43,2,3839.285714
2569,Haralur Road,2 BHK,1300,2,73,2,5615.384615
2570,Tumkur Road,2 BHK,1239,2,82,2,6618.240517
2571,Sarjapur  Road,3 BHK,1403,3,51.63,3,3679.97149
2572,Hosa Road,2 BHK,1365,2,92,2,6739.92674
2573,other,2 BHK,1165,2,135,2,11587.98283
2574,Subramanyapura,3 BHK,1130,2,45.19,3,3999.115044
2575,Green Glen Layout,3 BHK,1776.42,3,105,3,5910.764346
2576,Vidyaranyapura,4 Bedroom,900,4,175,4,19444.44444
2577,Haralur Road,2 BHK,1194,2,47,2,3936.348409
2578,other,2 BHK,1107,2,33,2,2981.02981
2579,Nagavara,3 BHK,2319,3,180,3,7761.966365
2580,other,3 BHK,1520,3,80,3,5263.157895
2581,Kannamangala,3 BHK,1536,3,89,3,5794.270833
2582,other,4 BHK,3000,4,240,4,8000
2583,other,2 BHK,1050,2,38,2,3619.047619
2584,Hoodi,3 BHK,1850,3,146,3,7891.891892
2585,Billekahalli,2 BHK,1112,2,62,2,5575.539568
2586,Marathahalli,3 BHK,1535,3,72.5,3,4723.127036
2587,Kanakpura Road,2 BHK,1050,2,35,2,3333.333333
2588,Banashankari,4 Bedroom,2400,3,370,4,15416.66667
2589,7th Phase JP Nagar,3 BHK,1250,3,65,3,5200
2590,Kalena Agrahara,2 BHK,1187,2,52,2,4380.791912
2591,9th Phase JP Nagar,2 BHK,1164,2,56,2,4810.996564
2592,Electronic City Phase II,3 BHK,1395,2,62.78,3,4500.358423
2593,Arekere,3 BHK,2072,3,108,3,5212.355212
2594,Kanakpura Road,3 BHK,1450,3,60.91,3,4200.689655
2595,Bannerghatta Road,3 BHK,1550,3,82,3,5290.322581
2596,other,2 BHK,1315,2,90,2,6844.106464
2597,Hebbal,4 BHK,3067,4,230,4,7499.184871
2598,other,2 BHK,1210,2,72,2,5950.413223
2599,Bisuvanahalli,3 BHK,1075,2,47,3,4372.093023
2600,other,6 BHK,11338,9,1000,6,8819.897689
2601,other,3 BHK,1215,3,42.2,3,3473.251029
2602,Kaggadasapura,3 BHK,1470,2,75,3,5102.040816
2603,other,4 Bedroom,30000,4,2100,4,7000
2604,Hosur Road,3 BHK,1590,2,125,3,7861.63522
2605,Kanakpura Road,2 BHK,1050,2,36.75,2,3500
2606,Raja Rajeshwari Nagar,2 BHK,1306,2,55.91,2,4281.01072
2607,Malleshwaram,3 BHK,2000,3,250,3,12500
2608,other,3 BHK,1445,3,64,3,4429.065744
2609,Sarjapur  Road,3 BHK,1220,3,58,3,4754.098361
2610,Sarjapur,4 Bedroom,3190,3,160,4,5015.673981
2611,Ramagondanahalli,2 BHK,1215,2,51.26,2,4218.930041
2612,Budigere,3 BHK,1920,2,88,3,4583.333333
2613,Dodda Nekkundi,2 BHK,1390,2,60,2,4316.546763
2614,Battarahalli,3 Bedroom,800,2,75,3,9375
2615,Nagarbhavi,3 Bedroom,600,3,100,3,16666.66667
2616,Hoodi,2 BHK,1196,2,71.74,2,5998.327759
2617,Bannerghatta Road,3 BHK,1550,2,75,3,4838.709677
2618,Thigalarapalya,2 BHK,1418,2,101,2,7122.708039
2619,Varthur Road,3 BHK,1655,3,115,3,6948.640483
2620,KR Puram,2 BHK,1115,2,33.45,2,3000
2621,other,2 BHK,1170,2,68,2,5811.965812
2622,Anekal,2 BHK,1035,2,38.3,2,3700.483092
2623,Singasandra,3 BHK,1306,2,58,3,4441.041348
2624,Kengeri,2 BHK,750,2,22,2,2933.333333
2625,Thanisandra,3 BHK,1917,3,122,3,6364.110589
2626,Kaggadasapura,3 BHK,1615,3,58,3,3591.331269
2627,Marathahalli,2 BHK,1071,2,52.25,2,4878.618114
2628,Koramangala,2 BHK,1325,2,119,2,8981.132075
2629,Malleshwaram,7 Bedroom,3000,4,900,7,30000
2630,5th Phase JP Nagar,3 BHK,1400,2,88,3,6285.714286
2631,Tumkur Road,2 BHK,1246,2,82,2,6581.05939
2632,Sarjapur,2 BHK,1215,2,40,2,3292.18107
2633,Munnekollal,2 BHK,1200,2,49.5,2,4125
2634,other,4 Bedroom,450,3,53,4,11777.77778
2635,Kodigehaali,2 BHK,1200,2,60,2,5000
2636,Kaval Byrasandra,2 BHK,945,2,50,2,5291.005291
2637,Benson Town,4 BHK,4460,5,650,4,14573.99103
2638,Hormavu,2 BHK,1175,2,52,2,4425.531915
2639,Whitefield,2 BHK,920,2,63,2,6847.826087
2640,Hosakerehalli,4 BHK,3024,5,350,4,11574.07407
2641,other,2 Bedroom,1600,2,110,2,6875
2642,Sanjay nagar,4 Bedroom,750,2,110,4,14666.66667
2643,other,4 Bedroom,2400,4,700,4,29166.66667
2644,other,2 BHK,955,1,34.01,2,3561.256545
2645,Ardendale,3 BHK,1750,3,100,3,5714.285714
2646,Uttarahalli,3 BHK,1425,2,64,3,4491.22807
2647,Basavangudi,3 BHK,2150,3,265,3,12325.5814
2648,Whitefield,2 BHK,1165,2,40.5,2,3476.39485
2649,Kaggadasapura,2 BHK,1050,2,48,2,4571.428571
2650,other,3 BHK,1370,2,75,3,5474.452555
2651,Electronic City,3 BHK,1374,2,72,3,5240.174672
2652,Harlur,3 BHK,1754,3,124,3,7069.555302
2653,Kothanur,3 BHK,1847,3,110,3,5955.603682
2654,Ambedkar Nagar,3 BHK,1850,4,139,3,7513.513514
2655,Chikka Tirupathi,3 Bedroom,3297,3,135,3,4094.631483
2656,other,2 BHK,1187,2,45,2,3791.069924
2657,Bommasandra Industrial Area,3 BHK,1400,2,40.44,3,2888.571429
2658,other,3 Bedroom,600,2,30,3,5000
2659,Chamrajpet,2 BHK,1350,2,180,2,13333.33333
2660,Doddaballapur,3 Bedroom,3000,2,120,3,4000
2661,Thanisandra,1 BHK,693,1,34.3,1,4949.494949
2662,other,3 BHK,1980,3,224,3,11313.13131
2663,KR Puram,2 BHK,1021,2,48,2,4701.273262
2664,Thigalarapalya,2 BHK,1165,2,95,2,8154.506438
2665,Horamavu Agara,3 BHK,1756,3,92,3,5239.179954
2666,Bharathi Nagar,3 BHK,1739,3,105,3,6037.952846
2667,Varthur,2 BHK,1280,2,65,2,5078.125
2668,Marathahalli,2 BHK,1215,2,58.86,2,4844.444444
2669,Munnekollal,2 BHK,950,2,46.5,2,4894.736842
2670,Kengeri,3 BHK,1082,2,49,3,4528.650647
2671,7th Phase JP Nagar,2 BHK,1050,2,42,2,4000
2672,Devanahalli,2 BHK,1080,2,53.35,2,4939.814815
2673,Arekere,2 BHK,1100,2,55,2,5000
2674,Ardendale,4 Bedroom,3200,4,205,4,6406.25
2675,Sarjapur  Road,2 BHK,1311,2,78,2,5949.656751
2676,Raja Rajeshwari Nagar,3 BHK,1608,3,67.98,3,4227.61194
2677,Begur Road,2 BHK,1160,2,36,2,3103.448276
2678,Whitefield,2 BHK,1170,2,71,2,6068.376068
2679,Kengeri,2 BHK,1155,2,40.6,2,3515.151515
2680,Hebbal,3 BHK,1255,2,77.68,3,6189.641434
2681,Rayasandra,2 BHK,1065,2,44.95,2,4220.657277
2682,Neeladri Nagar,1 BHK,674,1,21,1,3115.727003
2683,Ambedkar Nagar,3 BHK,1936,4,126,3,6508.264463
2684,Sarakki Nagar,3 BHK,2289,3,260,3,11358.67191
2685,other,2 BHK,1100,2,38.45,2,3495.454545
2686,Ramagondanahalli,3 BHK,2257,4,157,3,6956.136464
2687,Nagarbhavi,2 BHK,1055,2,55,2,5213.270142
2688,Raja Rajeshwari Nagar,3 BHK,1530,3,51.87,3,3390.196078
2689,other,3 BHK,1700,3,97,3,5705.882353
2690,Raja Rajeshwari Nagar,3 BHK,1575,2,78,3,4952.380952
2691,Frazer Town,3 BHK,3500,4,330,3,9428.571429
2692,Rajiv Nagar,2 BHK,1263,2,93.32,2,7388.756928
2693,KR Puram,3 BHK,1559,3,69.315,3,4446.119307
2694,Kengeri Satellite Town,2 BHK,1043,2,65,2,6232.023011
2695,Hennur,2 BHK,1255,2,53.5,2,4262.948207
2696,JP Nagar,2 BHK,1352.5,2,93.865,2,6940.110906
2697,Chandapura,1 BHK,590,1,13.57,1,2300
2698,Yelahanka,3 Bedroom,1550,3,120,3,7741.935484
2699,Sarjapur  Road,3 BHK,1220,3,56,3,4590.163934
2700,other,3 BHK,1900,3,160,3,8421.052632
2701,other,3 BHK,1360,3,55,3,4044.117647
2702,other,2 BHK,1100,2,75,2,6818.181818
2703,8th Phase JP Nagar,3 BHK,1455,3,73.31,3,5038.487973
2704,KR Puram,2 BHK,1035,2,40.5,2,3913.043478
2705,Harlur,2 BHK,1152,2,69,2,5989.583333
2706,Bellandur,2 BHK,1299,2,82,2,6312.548114
2707,Sarjapur  Road,3 BHK,1157,2,75,3,6482.281763
2708,Rachenahalli,2 BHK,1050,2,52.5,2,5000
2709,Pai Layout,2 BHK,1050,2,40,2,3809.52381
2710,Vittasandra,2 BHK,1246,2,67.4,2,5409.309791
2711,other,3 BHK,1929,3,115,3,5961.638154
2712,Hennur,2 BHK,1285,2,60,2,4669.2607
2713,Margondanahalli,3 Bedroom,1200,2,65,3,5416.666667
2714,other,4 BHK,3161,4,214,4,6770.009491
2715,BTM 2nd Stage,3 BHK,1850,3,170,3,9189.189189
2716,Sompura,3 BHK,1025,2,37,3,3609.756098
2717,Malleshwaram,2 BHK,1124,3,80,2,7117.437722
2718,Balagere,2 BHK,1012,2,54.59,2,5394.268775
2719,Giri Nagar,7 BHK,4500,5,250,7,5555.555556
2720,8th Phase JP Nagar,2 BHK,871,2,55,2,6314.580941
2721,other,2 BHK,1020,2,40,2,3921.568627
2722,Rachenahalli,3 BHK,1550,3,73.5,3,4741.935484
2723,other,3 Bedroom,3515,3,420,3,11948.7909
2724,Akshaya Nagar,3 BHK,1410,2,80,3,5673.758865
2725,Chikka Tirupathi,4 Bedroom,3500,5,150,4,4285.714286
2726,Whitefield,2 BHK,1118,2,75,2,6708.407871
2727,Thanisandra,2 BHK,1098,2,68,2,6193.078324
2728,Kanakapura,2 BHK,1130,2,45.2,2,4000
2729,Sarjapur  Road,2 BHK,1145,2,75,2,6550.218341
2730,Kadugodi,3 Bedroom,950,3,80,3,8421.052632
2731,other,2 BHK,1051,2,33,2,3139.866794
2732,other,7 Bedroom,600,7,108,7,18000
2733,Marathahalli,2 BHK,1102,2,53.67,2,4870.235935
2734,Jalahalli,2 BHK,1478,2,125,2,8457.374831
2735,Chandapura,1 BHK,645,1,16.45,1,2550.387597
2736,Hebbal,2 BHK,823,2,50.63,2,6151.883354
2737,Abbigere,2 BHK,880,2,35,2,3977.272727
2738,KR Puram,4 Bedroom,600,5,75,4,12500
2739,Budigere,3 BHK,1991,4,100,3,5022.601708
2740,TC Palaya,3 BHK,1100,3,50,3,4545.454545
2741,Gubbalala,3 BHK,1745,3,115,3,6590.25788
2742,HAL 2nd Stage,2 BHK,1226,3,135,2,11011.41925
2743,Begur Road,3 Bedroom,680,4,68,3,10000
2744,other,2 BHK,1100,2,70,2,6363.636364
2745,Banashankari Stage VI,4 Bedroom,1200,4,195,4,16250
2746,5th Phase JP Nagar,2 BHK,1450,2,58,2,4000
2747,Singasandra,4 BHK,3366,4,120,4,3565.062389
2748,Sahakara Nagar,2 BHK,1150,2,54,2,4695.652174
2749,Kanakpura Road,3 BHK,1843,3,95.84,3,5200.217037
2750,Banashankari Stage VI,4 Bedroom,2200,4,195,4,8863.636364
2751,Bommanahalli,2 BHK,1090,3,44,2,4036.697248
2752,Kaggadasapura,2 BHK,1132,2,42,2,3710.24735
2753,Hulimavu,2 BHK,1375,2,80,2,5818.181818
2754,7th Phase JP Nagar,4 Bedroom,1500,5,220,4,14666.66667
2755,Thanisandra,1 BHK,760,1,50.3,1,6618.421053
2756,Kaggadasapura,2 BHK,1180,2,65,2,5508.474576
2757,Jigani,2 BHK,918,2,45,2,4901.960784
2758,Rachenahalli,5 Bedroom,600,5,50,5,8333.333333
2759,Margondanahalli,2 Bedroom,1200,1,53,2,4416.666667
2760,HSR Layout,2 BHK,1372,2,61,2,4446.06414
2761,other,7 Bedroom,2400,7,355,7,14791.66667
2762,Ardendale,3 BHK,1728,3,95,3,5497.685185
2763,Malleshwaram,3 BHK,2215,3,275,3,12415.34989
2764,BTM 2nd Stage,2 BHK,1200,2,80,2,6666.666667
2765,6th Phase JP Nagar,2 BHK,1280,2,56,2,4375
2766,Hulimavu,4 Bedroom,800,4,110,4,13750
2767,other,3 BHK,1455,2,56,3,3848.797251
2768,Rachenahalli,1 RK,440,1,28,1,6363.636364
2769,Kanakpura Road,3 Bedroom,1500,3,97,3,6466.666667
2770,Whitefield,3 BHK,1800,3,110,3,6111.111111
2771,Mysore Road,3 BHK,1525,3,96,3,6295.081967
2772,Rachenahalli,2 BHK,1204,2,38.5,2,3197.674419
2773,Old Madras Road,2 BHK,1225,2,53.55,2,4371.428571
2774,Kalyan nagar,6 Bedroom,800,6,98,6,12250
2775,Bannerghatta Road,3 BHK,1650,3,122,3,7393.939394
2776,Electronic City,3 BHK,880,2,18,3,2045.454545
2777,other,4 Bedroom,4200,4,255,4,6071.428571
2778,other,2 Bedroom,1200,2,55,2,4583.333333
2779,Sarjapur  Road,4 Bedroom,1152,4,230,4,19965.27778
2780,9th Phase JP Nagar,2 BHK,1005,2,42,2,4179.104478
2781,Whitefield,3 BHK,1562,3,103,3,6594.110115
2782,Devanahalli,4 Bedroom,5000,5,395,4,7900
2783,Babusapalaya,6 Bedroom,810,5,95,6,11728.39506
2784,Ramamurthy Nagar,2 BHK,1200,2,42,2,3500
2785,Kasavanhalli,3 BHK,1555,3,82.5,3,5305.466238
2786,KR Puram,2 Bedroom,1550,2,71,2,4580.645161
2787,Whitefield,2 BHK,1190,2,67,2,5630.252101
2788,Chikkalasandra,2 BHK,1070,2,50,2,4672.897196
2789,Jalahalli East,2 BHK,1020,2,42.48,2,4164.705882
2790,Yelahanka,3 BHK,1610,3,115,3,7142.857143
2791,other,1 BHK,700,1,41,1,5857.142857
2792,other,3 BHK,1300,2,49,3,3769.230769
2793,Hebbal,2 BHK,1420,2,123,2,8661.971831
2794,Vidyaranyapura,9 Bedroom,1200,9,100,9,8333.333333
2795,Hebbal,3 BHK,1069,3,65.4,3,6117.867166
2796,Marathahalli,3 BHK,1900,3,123,3,6473.684211
2797,Old Airport Road,2 BHK,1655,2,97.65,2,5900.302115
2798,Uttarahalli,2 BHK,1155,2,40.42,2,3499.5671
2799,Sarjapur  Road,3 BHK,1300,2,70,3,5384.615385
2800,Electronic City,2 BHK,1100,2,45,2,4090.909091
2801,Doddathoguru,2 BHK,1030,2,42,2,4077.669903
2802,Vittasandra,2 BHK,2105,2,70.2,2,3334.916865
2803,Bhoganhalli,3 BHK,1700,3,126,3,7411.764706
2804,Jakkur,3 BHK,1760,3,139,3,7897.727273
2805,Kadugodi,9 Bedroom,6200,9,200,9,3225.806452
2806,other,2 BHK,1400,2,67,2,4785.714286
2807,other,2 BHK,1200,2,53,2,4416.666667
2808,Bannerghatta Road,2 BHK,912,2,55,2,6030.701754
2809,Whitefield,2 BHK,1102,2,48,2,4355.716878
2810,other,3 BHK,1535,3,55,3,3583.061889
2811,Haralur Road,2 BHK,1243,2,46,2,3700.724055
2812,Jigani,2 BHK,918,2,63.2,2,6884.53159
2813,Begur Road,3 BHK,1500,2,70,3,4666.666667
2814,other,3 Bedroom,3000,3,250,3,8333.333333
2815,Kasavanhalli,3 BHK,1476,3,89,3,6029.810298
2816,Mysore Road,2 BHK,1200,2,65,2,5416.666667
2817,Vijayanagar,1 BHK,606,1,34.78,1,5739.273927
2818,other,2 BHK,1100,2,61,2,5545.454545
2819,Garudachar Palya,3 BHK,1295,2,59.5,3,4594.594595
2820,Neeladri Nagar,1 BHK,527,1,26,1,4933.586338
2821,OMBR Layout,2 BHK,1300,2,80,2,6153.846154
2822,Bommanahalli,3 Bedroom,680,4,68,3,10000
2823,other,1 Bedroom,1260,1,41,1,3253.968254
2824,Koramangala,2 BHK,1140,2,75.2,2,6596.491228
2825,other,1 Bedroom,1500,1,37.5,1,2500
2826,Whitefield,3 BHK,2321,4,128,3,5514.864283
2827,Sarjapur  Road,2 BHK,1390,2,62,2,4460.431655
2828,Sarjapur  Road,3 BHK,1725,3,90,3,5217.391304
2829,Hebbal,4 BHK,3067,4,310,4,10107.597
